indicator,gender,ageMonths,L,M,S,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
LENGTH_HEIGHT_FOR_AGE,FEMALE,40,1,97.7493,0.04073,85.8,89.8,93.8,97.7,101.7,105.7,109.7
LENGTH_HEIGHT_FOR_AGE,FEMALE,41,1,98.4015,0.04089,86.3,90.4,94.4,98.4,102.4,106.4,110.5
LENGTH_HEIGHT_FOR_AGE,FEMALE,42,1,99.0448,0.04105,86.8,90.9,95,99,103.1,107.2,111.2
LENGTH_HEIGHT_FOR_AGE,FEMALE,43,1,99.6795,0.0412,87.4,91.5,95.6,99.7,103.8,107.9,112
LENGTH_HEIGHT_FOR_AGE,FEMALE,44,1,100.3058,0.04135,87.9,92,96.2,100.3,104.5,108.6,112.7
LENGTH_HEIGHT_FOR_AGE,FEMALE,45,1,100.9238,0.0415,88.4,92.5,96.7,100.9,105.1,109.3,113.5
LENGTH_HEIGHT_FOR_AGE,FEMALE,46,1,101.5337,0.04164,88.9,93.1,97.3,101.5,105.8,110,114.2
LENGTH_HEIGHT_FOR_AGE,FEMALE,47,1,102.136,0.04179,89.3,93.6,97.9,102.1,106.4,110.7,114.9
LENGTH_HEIGHT_FOR_AGE,FEMALE,48,1,102.7312,0.04193,89.8,94.1,98.4,102.7,107,111.3,115.7
LENGTH_HEIGHT_FOR_AGE,FEMALE,49,1,103.3197,0.04206,90.3,94.6,99,103.3,107.7,112,116.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,50,1,103.9021,0.0422,90.7,95.1,99.5,103.9,108.3,112.7,117.1
LENGTH_HEIGHT_FOR_AGE,FEMALE,51,1,104.4786,0.04233,91.2,95.6,100.1,104.5,108.9,113.3,117.7
LENGTH_HEIGHT_FOR_AGE,FEMALE,52,1,105.0494,0.04246,91.7,96.1,100.6,105,109.5,114,118.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,53,1,105.6148,0.04259,92.1,96.6,101.1,105.6,110.1,114.6,119.1
LENGTH_HEIGHT_FOR_AGE,FEMALE,54,1,106.1748,0.04272,92.6,97.1,101.6,106.2,110.7,115.2,119.8
LENGTH_HEIGHT_FOR_AGE,FEMALE,55,1,106.7295,0.04285,93,97.6,102.2,106.7,111.3,115.9,120.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,56,1,107.2788,0.04298,93.4,98.1,102.7,107.3,111.9,116.5,121.1
LENGTH_HEIGHT_FOR_AGE,FEMALE,57,1,107.8227,0.0431,93.9,98.5,103.2,107.8,112.5,117.1,121.8
LENGTH_HEIGHT_FOR_AGE,FEMALE,58,1,108.3613,0.04322,94.3,99,103.7,108.4,113,117.7,122.4
